SRX,index,!Sample_geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_treatment_protocol_ch1,!Sample_growth_protocol_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_description,!Sample_description,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_laboratory,!Sample_contact_department,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_state,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_relation,!Sample_supplementary_file_1,!series_matrix_table_begin,ID_REF,!series_matrix_table_end,ct
SRX393098,SUPeR-seq_zygote1,GSM1290618,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse zygote,Mus musculus,cell type: zygote,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460656,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393098,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290618/suppl/GSM1290618_SUPeR-seq_zygote1_FPKM_gencode.txt.gz,,GSM1290618,,Zygote
SRX393099,SUPeR-seq_zygote2,GSM1290619,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse zygote,Mus musculus,cell type: zygote,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460659,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393099,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290619/suppl/GSM1290619_SUPeR-seq_zygote2_FPKM_gencode.txt.gz,,GSM1290619,,Zygote
SRX393100,SUPeR-seq_2-cell1-1,GSM1290620,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse 2-cell embryo,Mus musculus,cell type: 2-cell embryo,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460661,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393100,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290620/suppl/GSM1290620_SUPeR-seq_2-cell_1-1_FPKM_gencode.txt.gz,,GSM1290620,,2C
SRX393101,SUPeR-seq_2-cell1-2,GSM1290621,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse 2-cell embryo,Mus musculus,cell type: 2-cell embryo,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460662,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393101,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290621/suppl/GSM1290621_SUPeR-seq_2-cell_1-2_FPKM_gencode.txt.gz,,GSM1290621,,2C
SRX393102,SUPeR-seq_2-cell2-1,GSM1290622,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse 2-cell embryo,Mus musculus,cell type: 2-cell embryo,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460664,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393102,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290622/suppl/GSM1290622_SUPeR-seq_2-cell_2-1_FPKM_gencode.txt.gz,,GSM1290622,,2C
SRX393103,SUPeR-seq_2-cell2-2,GSM1290623,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse 2-cell embryo,Mus musculus,cell type: 2-cell embryo,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460660,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393103,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290623/suppl/GSM1290623_SUPeR-seq_2-cell_2-2_FPKM_gencode.txt.gz,,GSM1290623,,2C
SRX393104,SUPeR-seq_2-cell3-1,GSM1290624,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse 2-cell embryo,Mus musculus,cell type: 2-cell embryo,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460663,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393104,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290624/suppl/GSM1290624_SUPeR-seq_2-cell_3-1_FPKM_gencode.txt.gz,,GSM1290624,,2C
SRX393105,SUPeR-seq_2-cell3-2,GSM1290625,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse 2-cell embryo,Mus musculus,cell type: 2-cell embryo,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460665,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393105,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290625/suppl/GSM1290625_SUPeR-seq_2-cell_3-2_FPKM_gencode.txt.gz,,GSM1290625,,2C
SRX393108,SUPeR-seq_a-AM_treated_2-cell1-1,GSM1290628,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse 2-cell embryo,Mus musculus,cell type: 2-cell embryo,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460666,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393108,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290628/suppl/GSM1290628_SUPeR-seq_a-AM_treated_2-cell1-1_FPKM_gencode.txt.gz,,GSM1290628,,2C
SRX393109,SUPeR-seq_a-AM_treated_2-cell1-2,GSM1290629,Public on Jun 16 2015,Dec 17 2013,May 15 2019,SRA,1,mouse 2-cell embryo,Mus musculus,cell type: 2-cell embryo,strain: CD-1,gender: female,,"Mouse embryonic stem cells were maintained without feeders on gelatinlized dishes in the presence of 1,000U/ml leukemia inhibitory factor (LIF, Millipore) in Dulbecco's Modification of Eagle's Medium (DMEM/F-12, Gibco) containing 20% fetal calf serum (FCS, Gibco) for routine passage while the HKE293T cells were cultured in DMEM/High glucose. Metaphse II oocytes ,zygotes and 2-cell embryos (after mating with CD-1 male mice) were recovered from the oviduct ampulla of super-ovulated mice of CD-1 strain.",total RNA,Single cells were picked into the lysis buffer which contained Rnase inhibitor to prevent RNA degration,"Cells were picked into the lysis buffer to release all RNAs; then the released RNAs were reverse transcribed with SuperScript III(Invitrogen), then digested the unreacted primers with ExoSAP-IT(USB) and tailed the first strand cDNA with a poly(A) sequence with terminal deoxynucleotidyl transferase (TdT, Invitrogen) , then used poly(T) primers to synthesize the sencond strand cDNA.the cDNAs were then enriched by two rounds of PCR amplifications each with size-selection by 2% agarose gel recovery then the library construction waa conducted following the illumina library preparing protocol. The quality-ensured libraries were used for pair-end deep sequencing on Illumina HiSeq2000 and Illumina HiSeq2500 Sequencers.",10090,single cell RNA-seq,,Illumina CASAVA version 1.8 were used to the basecalling.,Reads were trimmed to remove the adapter sequences and low quality bases.,RNA-seq reads were aligned to the reference genome using BWA software,gene expression level was estimated using comstomized Perl scripts.,Genome_build: mm10 and hg19,Supplementary_files_format_and_content: txt files reflect RPKM of each gene in Refseq.,GPL13112,"Xiaoying,,Fan",sharryfan100@gmail.com,Biodynamic Optical Imaging Center,College of Life Sciences,Peking University,5 Yiheyuan Road,Beijing,Beijing,100871,China,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02460667,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX393109,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1290nnn/GSM1290629/suppl/GSM1290629_SUPeR-seq_a-AM_treated_2-cell1-2_FPKM_gencode.txt.gz,,GSM1290629,,2C
